
[2020-11-25 11:38:14.787120] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.2 platfrom:1', 'device_id': '7101384284372', 'dev_cur_pts': 1606223371, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-25 11:38:28.156385] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.2 platfrom:1', 'device_id': '7101384284372', 'dev_cur_pts': 1606223371, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-25 11:38:32.953664] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.2 platfrom:1', 'device_id': '7101384284372', 'dev_cur_pts': 1606223371, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-25 11:44:38.148338] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.2 platfrom:1', 'device_id': '7101384284372', 'dev_cur_pts': 1606223371, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-25 11:53:51.066162] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.2 platfrom:1', 'device_id': '7101384284372', 'dev_cur_pts': 1606305230, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-27 15:49:38.728355] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.2 platfrom:1', 'device_id': '7101384284372', 'dev_cur_pts': 1606223371, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-27 15:53:40.726955] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.2 platfrom:1', 'device_id': '7101384284372', 'dev_cur_pts': 1606492419, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-27 20:05:25.048811] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.2 platfrom:1', 'device_id': '7101384284372', 'dev_cur_pts': 1606223371, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-27 20:06:37.646985] {'code': -1, 'msg': 'mqtt param erro!', 'device_id': '7101384284372', 'dev_cur_pts': 1606507596, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-27 20:09:40.681567] {'code': -1, 'msg': 'mqtt param erro!', 'device_id': '7101384284372', 'dev_cur_pts': 1606507779, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-27 20:10:17.691890] {'code': -1, 'msg': 'mqtt param erro!', 'device_id': '7101384284372', 'dev_cur_pts': 1606507816, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-27 20:14:19.727537] {'code': -1, 'msg': 'mqtt param erro!', 'device_id': '7101384284372', 'dev_cur_pts': 1606508059, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-27 20:24:11.946164] {'code': -1, 'msg': 'mqtt param erro!', 'device_id': '7101384284372', 'dev_cur_pts': 1606508651, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-27 20:25:49.920176] {'code': -1, 'msg': 'mqtt param erro!', 'device_id': '7101384284372', 'dev_cur_pts': 1606508749, 'tag': 'platform define', 'datas': 'no data'}
[2020-11-27 20:31:07.965967] {'code': -1, 'msg': 'mqtt param erro!', 'device_id': '7101384284372', 'dev_cur_pts': 1606509067, 'tag': 'no data', 'datas': 'no data'}
[2020-11-27 20:32:11.980308] {'code': -1, 'msg': 'mqtt param erro!', 'device_id': '7101384284372', 'dev_cur_pts': 1606509131, 'tag': 'no data', 'datas': 'no data'}
[2020-11-27 20:32:52.970373] {'code': -1, 'msg': 'mqtt param erro!', 'device_id': '7101384284372', 'dev_cur_pts': 1606509172, 'tag': 'no data', 'datas': 'no data'}
[2020-11-27 20:59:37.343728] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.2 platfrom:1', 'device_id': '7101384284372', 'dev_cur_pts': 1606510776, 'tag': 'platform define', 'datas': 'no data'}
[2020-12-14 14:20:42.288821] {'code': -1, 'msg': 'device_token erro!', 'device_id': '7101384284372', 'dev_cur_pts': 1607955641, 'tag': 'platfromdefine', 'datas': 'no data'}
[2020-12-14 14:53:10.940859] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.88 platfrom:2', 'device_id': '7101384284372', 'dev_cur_pts': 1607957590, 'tag': 'platform define', 'datas': 'no data'}
[2020-12-14 14:56:41.217714] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.88 platfrom:2', 'device_id': '7101384284372', 'dev_cur_pts': 1607957800, 'tag': 'platform define', 'datas': 'no data'}
[2020-12-16 12:46:14.934655] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.88 platfrom:2', 'device_id': '7101384284372', 'dev_cur_pts': 1608122775, 'tag': 'platform define', 'datas': 'no data'}
[2020-12-16 12:57:08.095633] {'code': -1, 'msg': 'device_token erro!', 'device_id': '7101384284372', 'dev_cur_pts': 1608123428, 'tag': 'platform define', 'datas': 'no data'}
[2020-12-16 13:03:11.138578] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.88 platfrom:2', 'device_id': '7101384284372', 'dev_cur_pts': 1608123791, 'tag': 'platform define', 'datas': 'no data'}
[2020-12-16 13:10:22.187470] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.88 platfrom:2', 'device_id': '7101384284372', 'dev_cur_pts': 1608124222, 'tag': 'platform define', 'datas': 'no data'}
[2020-12-16 13:21:10.264938] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.88 platfrom:2', 'device_id': '7101384284372', 'dev_cur_pts': 1608124870, 'tag': 'platform define', 'datas': 'no data'}
[2020-12-21 15:55:52.202172] {'code': -1, 'msg': 'The device has been bound! ip:192.168.1.88 platfrom:2', 'device_id': '7101384284372', 'dev_cur_pts': 1608566143, 'tag': 'platform define', 'datas': 'no data'}
